"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"Port_Name";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"ERS_Exempt_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"NLD";"BEL000041982";NA;"IMP";20120112;20120402;"BEL000041982";"BR-9";"ASTRID";"NLBRS";"Breskens";"";"N";"Y";"N";"N";"N";"N";NA;"FX";"OTB";"LHP";NA;NA;NA;NA;"14.36";"0.00";"14.00";"0.00";"0.00";"83.00";"0.00";2;"2012-01-12";"MFL";"BEL";"";"PA";"1982-01-01"
"NLD";"BEL000041982";NA;"MOD";20120403;20120613;"BEL000041982";"BR-9";"ASTRID";"NLBRS";"Breskens";"";"N";"N";"N";"N";"N";"N";NA;"FX";"OTB";"LHP";NA;NA;NA;NA;"14.36";"0.00";"14.00";"0.00";"0.00";"83.00";"0.00";2;"2012-01-12";"MFL";"";"";"PA";"1982-01-01"
"NLD";"BEL000041982";NA;"MOD";20120614;20150122;"BEL000041982";"BR-9";"ASTRID";"NLBRS";"Breskens";"";"N";"Y";"Y";"Y";"N";"N";NA;"FX";"OTB";"LHP";NA;NA;NA;NA;"14.36";"0.00";"14.00";"0.00";"0.00";"83.00";"0.00";2;"2012-01-12";"MFL";"";"";"";"1982-01-01"
"NLD";"BEL000041982";NA;"MOD";20150123;20160121;"BEL000041982";"BR-9";"ASTRID";"NLBRS";"Breskens";"PA2442";"Y";"Y";"Y";"Y";"N";"N";NA;"FX";"OTB";"LHP";NA;NA;NA;NA;"14.36";"0.00";"14.00";"0.00";"0.00";"83.00";"0.00";2;"2012-01-12";"MFL";"";"";"";"1982-01-01"
"NLD";"BEL000041982";NA;"MOD";20160122;20171129;"BEL000041982";"BR-9";"JACK.SON";"NLBRS";"Breskens";"PA2442";"Y";"Y";"Y";"N";"N";"N";NA;"FX";"GNS";"OTB";NA;NA;NA;NA;"14.36";"0.00";"14.00";"0.00";"0.00";"83.00";"0.00";2;"2012-01-12";"MFL";"";"";"";"1982-01-01"
"NLD";"BEL000041982";NA;"MOD";20171130;21001231;"BEL000041982";"BR-9";"BOURIC";"NLBRS";"Breskens";"PA2442";"Y";"Y";"Y";"Y";"N";"N";NA;"TU";"OTB";"FPO";NA;NA;NA;NA;"14.36";"0.00";"14.00";"0.00";"0.00";"83.00";"0.00";2;"2012-01-12";"MFL";"";"";"";"1982-01-01"
"NLD";"BEL000071985";NA;"IMP";20180601;20190731;"BEL000071985";"OL-5";"JACOB SR.";"NLDDE";"Oostdongeradeel";"PDKV";"Y";"Y";"Y";"Y";"N";"Y";244170523;"TU";"TBB";"MIS";NA;NA;NA;NA;"19.10";"0.00";"57.00";"0.00";"0.00";"187.00";"0.00";2;"1985-03-22";"MFL";"BEL";"";"PA";"1985-01-01"
"NLD";"BEL000071985";NA;"MOD";20190801;20230612;"BEL000071985";"OL-5";"JACOB SR.";"NLDDE";"Oostdongeradeel";"PDKV";"Y";"Y";"Y";"Y";"N";"Y";244170523;"TU";"TBB";"MIS";NA;NA;NA;NA;"19.10";"0.00";"57.00";"0.00";"0.00";"221.00";"0.00";2;"1985-03-22";"MFL";"";"";"";"1985-01-01"
"NLD";"BEL000071985";NA;"MOD";20230613;21001231;"BEL000071985";"ZK-44";"JELTE ALBERT";"NLZOT";"Zoutkamp";"PDKV";"Y";"Y";"Y";"Y";"N";"Y";244170523;"TU";"TBB";"FPO";NA;NA;NA;NA;"19.10";"0.00";"57.00";"0.00";"0.00";"221.00";"0.00";2;"1985-03-22";"MFL";"";"";"";"1985-01-01"
"NLD";"BEL001191970";8432601;"IMP";19920630;19961231;"BEL001191970";"WR-32";"DEO VOLENTE";"NLWRG";"Wieringen/Den Oever";"PDPG";"Y";"N";"N";"N";"N";"N";NA;"FX";"TBB";"PTM";NA;NA;NA;NA;"22.55";"0.00";"66.00";"0.00";"0.00";"220.00";"13.00";2;"1992-06-30";"E17";"BEL";"";"PA";"1970-01-01"
"NLD";"BEL001191970";8432601;"MOD";19970101;20010130;"BEL001191970";"WR-32";"DEO VOLENTE";"NLWRG";"Wieringen/Den Oever";"PDPG";"Y";"N";"N";"N";"N";"N";NA;"FX";"TBB";"PTM";NA;NA;NA;NA;"22.55";"0.00";"66.00";"0.00";"0.00";"220.00";"13.00";2;"1992-06-30";"4J4";"";"";"";"1970-01-01"
"NLD";"BEL001191970";8432601;"MOD";20010131;20021127;"BEL001191970";"WR-27";"VISAREND";"NLWRG";"Wieringen/Den Oever";"PDPG";"Y";"N";"N";"N";"N";"N";NA;"FX";"TBB";"PTM";NA;NA;NA;NA;"22.55";"0.00";"66.00";"0.00";"0.00";"220.00";"13.00";2;"1992-06-30";"4J4";"";"";"";"1970-01-01"
"NLD";"BEL001191970";8432601;"MOD";20021128;20021231;"BEL001191970";"WR-27";"VISAREND";"NLWRG";"Wieringen/Den Oever";"PDPG";"Y";"Y";"N";"N";"N";"N";NA;"FX";"TBB";"PTM";NA;NA;NA;NA;"22.55";"0.00";"66.00";"0.00";"0.00";"220.00";"13.00";2;"1992-06-30";"4J4";"";"";"";"1970-01-01"
"NLD";"BEL001191970";8432601;"MOD";20030101;20030902;"BEL001191970";"WR-27";"VISAREND";"NLWRG";"Wieringen/Den Oever";"PDPG";"Y";"Y";"N";"N";"N";"N";NA;"FX";"TBB";"OTB";NA;NA;NA;NA;"22.55";"0.00";"66.00";"0.00";"0.00";"220.00";"13.00";2;"1992-06-30";"MFL";"";"";"";"1970-01-01"
